iter	Passed	Remaining
0	2	1130
1	4	1125
2	8	1378
3	11	1389
4	14	1401
5	16	1391
6	19	1377
7	23	1427
8	25	1412
9	28	1400
10	31	1387
11	33	1377
12	36	1375
13	39	1377
14	42	1370
15	45	1364
16	47	1357
17	50	1351
18	53	1345
19	56	1351
20	59	1346
21	61	1342
22	64	1336
23	67	1330
24	69	1329
25	72	1325
26	75	1319
27	77	1314
28	80	1310
29	83	1306
30	86	1306
31	89	1304
32	91	1299
33	94	1295
34	97	1291
35	99	1287
36	102	1285
37	105	1281
38	108	1278
39	110	1274
40	113	1270
41	116	1267
42	119	1265
43	121	1262
44	124	1259
45	127	1257
46	130	1255
47	134	1262
48	137	1260
49	139	1258
50	142	1255
51	145	1253
52	148	1249
53	151	1248
54	154	1248
55	158	1252
56	161	1253
57	164	1252
58	166	1246
59	169	1242
60	172	1239
61	174	1236
62	177	1232
63	180	1230
64	182	1224
65	185	1221
66	188	1218
67	191	1214
68	193	1211
69	196	1208
70	199	1205
71	202	1202
72	204	1198
73	207	1195
74	210	1193
75	213	1190
76	216	1187
77	219	1185
78	222	1183
79	225	1185
80	231	1195
81	234	1194
82	239	1205
83	243	1203
84	246	1202
85	249	1201
86	252	1198
87	256	1200
88	261	1205
89	264	1205
90	267	1203
91	271	1203
92	274	1201
93	278	1203
94	282	1204
95	285	1201
96	288	1199
97	291	1197
98	294	1194
99	297	1190
100	300	1188
101	304	1187
102	307	1184
103	310	1181
104	313	1178
105	316	1176
106	319	1174
107	322	1171
108	325	1168
109	329	1166
110	332	1163
111	335	1160
112	338	1158
113	341	1155
114	344	1151
115	347	1149
116	351	1150
117	354	1147
118	357	1145
119	360	1142
120	363	1139
121	367	1137
122	371	1137
123	375	1138
124	380	1140
125	385	1145
126	389	1142
127	393	1142
128	396	1141
129	400	1139
130	404	1138
131	408	1138
132	412	1136
133	415	1133
134	420	1135
135	425	1137
136	428	1135
137	433	1136
138	436	1133
139	439	1131
140	443	1128
141	446	1126
142	451	1126
143	455	1125
144	458	1122
145	462	1121
146	466	1119
147	469	1117
148	473	1115
149	477	1113
150	481	1113
151	485	1110
152	488	1108
153	492	1105
154	496	1104
155	499	1101
156	502	1098
157	506	1095
158	509	1092
159	512	1088
160	515	1085
161	518	1081
162	521	1078
163	524	1074
164	527	1071
165	530	1067
166	533	1064
167	536	1060
168	539	1056
169	542	1054
170	546	1051
171	549	1047
172	552	1044
173	555	1041
174	558	1037
175	561	1034
176	564	1030
177	567	1026
178	570	1022
179	573	1019
180	576	1015
181	579	1012
182	582	1008
183	585	1004
184	588	1001
185	591	998
186	594	994
187	597	990
188	599	986
189	603	984
190	606	981
191	609	977
192	612	974
193	615	970
194	618	966
195	621	963
196	624	960
197	627	956
198	629	952
199	633	949
200	636	946
201	639	943
202	642	939
203	644	935
204	648	932
205	651	929
206	653	925
207	657	922
208	659	918
209	663	916
210	666	913
211	669	909
212	672	906
213	675	902
214	679	900
215	681	896
216	685	893
217	688	890
218	691	886
219	694	883
220	697	879
221	699	876
222	702	873
223	705	869
224	708	866
225	711	862
226	714	859
227	717	855
228	720	852
229	723	849
230	726	845
231	728	842
232	731	838
233	734	835
234	737	831
235	740	828
236	743	824
237	746	821
238	749	817
239	752	814
240	754	811
241	757	808
242	760	804
243	763	801
244	766	798
245	769	794
246	772	791
247	775	787
248	778	784
249	781	781
250	784	778
251	787	774
252	790	771
